cycle,L,pi,a,K,gamma,theta,epsilon,mu,v,I,r_growth_la,r_growth_da,r_maintenance,v_photosinthesis,c_max,c_x,U_L,s,delta,dseta,eta,t_l,t_la,t_d,t_da
0,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.0,0.0,0.0,0.0,0.074752,0.0,0.0,0.8,0.0,0.0,0.0,12,0.0,12,0.0
1,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.000000056,0.00000178946363114,0.074752,0.0747533694856783,1.9998950134638536,49510.59268667276,49509.79268667276,0.00000150947832925,0.00000013999265094,12,0.00000014,12,0.00000007
2,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00346574148806709,0.00000178946363114,0.074752,0.06435631302147703,49511.792581686226,49487.8057469758,-22.78693969695906,-0.00692986149780494,0.00346582548071804,12,0.00000014,12,0.00000007
3,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00346414640228831,0.00000178946363114,0.074752,0.0643610982788134,49489.005641989264,49465.01383920884,-22.791907766958936,-0.00692667132624736,0.00346423039493925,12,0.00000014,12,0.00000007
4,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00346255096874462,0.00000178946363114,0.074752,0.06436588457944445,49466.21373422231,49442.2169577089,-22.796881499940074,-0.00692348045915999,0.00346263496139556,12,0.00000014,12,0.00000007
5,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00346095518703962,0.00000178946363114,0.074752,0.06437067192455943,49443.41685272237,49419.415096802426,-22.80186090647305,-0.00692028889575,0.00346103917969057,12,0.00000014,12,0.00000007
6,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00345935905677617,0.00000178946363114,0.074752,0.0643754603153498,49420.61499181589,49396.60825080527,-22.80684599715598,-0.00691709663522309,0.00345944304942711,12,0.00000014,12,0.00000007
7,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00345776257755637,0.00000178946363114,0.074752,0.0643802497530092,49397.80814581874,49373.796414022654,-22.811836782614595,-0.00691390367678349,0.00345784657020731,12,0.00000014,12,0.00000007
8,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00345616574898159,0.00000178946363114,0.074752,0.06438504023873355,49374.99630903612,49350.979580749154,-22.81683327350234,-0.00691071001963392,0.00345624974163253,12,0.00000014,12,0.00000007
9,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00345456857065244,0.00000178946363114,0.074752,0.06438983177372098,49352.17947576262,49328.157745268654,-22.821835480500468,-0.00690751566297563,0.00345465256330338,12,0.00000014,12,0.00000007
10,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00345297104216881,0.00000178946363114,0.074752,0.06439462435917188,49329.35764028212,49305.33090185434,-22.826843414318123,-0.00690432060600836,0.00345305503481975,12,0.00000014,12,0.00000007
11,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.0034513731631298,0.00000178946363114,0.074752,0.0643994179962889,49306.5307968678,49282.49904476864,-22.831857085692445,-0.00690112484793036,0.00345145715578075,12,0.00000014,12,0.00000007
12,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00344977493313381,0.00000178946363114,0.074752,0.06440421268627688,49283.69893978211,49259.662168263254,-22.83687650538866,-0.00689792838793836,0.00344985892578475,12,0.00000014,12,0.00000007
13,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00344817635177843,0.00000178946363114,0.074752,0.06440900843034303,49260.86206327672,49236.82026657905,-22.84190168420017,-0.00689473122522761,0.00344826034442937,12,0.00000014,12,0.00000007
14,11.68,0.0000018,0.8,0.58,3.0,0.3,0.008,0.0,0.000000007,100.0,0.00000004199632547,0.00000002099816274,0.00344657741866053,0.00000178946363114,0.074752,0.06441380522969671,49238.02016159252,49213.9733339461,-22.846932632948665,-0.00689153335899182,0.00344666141131148,12,0.00000014,12,0.00000007
